Identifier,Crime Type,Date/Time,Address,Agency
13075800,Theft,12/2/13 13:41,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
13075799,Theft,12/2/13 13:38,1700 Block W HILLSDALE BLVD,San Mateo Police Department
13075797,Theft,12/2/13 13:28,1 Block S B ST,San Mateo Police Department
13075793,Theft,12/2/13 13:23,E SAILER DR,San Mateo Police Department
13075790,Theft,12/2/13 13:20,600 Block FOLKSTONE AV,San Mateo Police Department
13075786,Theft,12/2/13 13:12,3100 Block DEL MONTE ST,San Mateo Police Department
13075779,Theft,12/2/13 12:55,1900 Block COYOTE POINT DR,San Mateo Police Department
13075774,Theft of Vehicle,12/2/13 12:51,700 Block 1ST AV,San Mateo Police Department
13075769,Theft,12/2/13 12:46,2000 Block SHOREVIEW AV,San Mateo Police Department
13075759,Theft,12/2/13 12:17,1600 Block MARINA CT,San Mateo Police Department
13075744,Theft,12/2/13 11:20,200 Block LAURIE MEADOWS DR,San Mateo Police Department
13075738,Theft from Vehicle,12/2/13 10:41,1 Block AV &S EL CAMINO REAL,San Mateo Police Department
13075715,Robbery,12/2/13 7:30,100 Block S ELLSWORTH AV,San Mateo Police Department
13075671,Theft from Vehicle,12/1/13 20:46,100 Block E 4TH AV,San Mateo Police Department
13075665,Theft from Vehicle,12/1/13 20:30,1 Block 2ND AV,San Mateo Police Department
13075651,Assault,12/1/13 19:32,600 Block E 3RD AV,San Mateo Police Department
13075598,Theft,12/1/13 15:28,1 Block S B ST,San Mateo Police Department
13075536,Theft,12/1/13 6:59,1 Block WILDWOOD DR,San Mateo Police Department
14007252,Theft from Vehicle,2/1/14 5:13,300 Block W BELLEVUE AV,San Mateo Police Department
14007290,Theft,2/1/14 12:18,2700 Block S NORFOLK ST,San Mateo Police Department
14007296,Assault,2/1/14 13:11,500 Block S NORFOLK ST,San Mateo Police Department
14007302,Theft,2/1/14 14:07,100 Block S KINGSTON ST,San Mateo Police Department
14007346,Theft from Vehicle,2/1/14 17:08,1800 Block S GRANT ST,San Mateo Police Department
14007376,Sexual Assault,2/1/14 19:06,1300 Block DAVID ST,San Mateo Police Department
14007411,Theft,2/1/14 20:57,900 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
14007419,Theft,2/1/14 21:12,400 Block S DELAWARE ST,San Mateo Police Department
14007425,Theft,2/1/14 21:18,700 Block CRESCENT AV,San Mateo Police Department
14007430,Theft,2/1/14 21:41,1 Block MC AKER CT,San Mateo Police Department
14007436,Theft,2/1/14 22:13,600 Block CRESCENT AV,San Mateo Police Department
14007437,Theft,2/1/14 22:15,100 Block GRAND BLVD,San Mateo Police Department
14007440,Theft,2/1/14 22:20,800 Block N DELAWARE ST,San Mateo Police Department
14007441,Theft,2/1/14 22:23,1 Block EL CERRITO AV,San Mateo Police Department
14007443,Theft,2/1/14 22:30,500 Block NEVADA AV,San Mateo Police Department
14007513,Theft from Vehicle,2/2/14 9:00,1 Block N GRANT ST,San Mateo Police Department
14007646,Theft,2/3/14 0:23,1 Block S CLAREMONT ST,San Mateo Police Department
14007705,Theft,2/3/14 11:57,1700 Block S DELAWARE ST,San Mateo Police Department
14007756,Sexual Assault,2/3/14 16:31,1800 Block S NORFOLK ST,San Mateo Police Department
14007770,Assault,2/3/14 17:22,1 Block AV &S EL CAMINO REAL,San Mateo Police Department
14007776,Assault,2/3/14 17:53,2100 Block STRATFORD WAY,San Mateo Police Department
14007797,Theft,2/3/14 19:26,2700 Block S NORFOLK ST,San Mateo Police Department
14007885,Theft of Vehicle,2/4/14 9:31,300 Block E SANTA INEZ AV,San Mateo Police Department
14007901,Theft,2/4/14 11:21,1500 Block LAGO ST,San Mateo Police Department
